;$FILEVERSION=1.1
;$STARTTIME=44475.4114990394
;
;   C:\Users\uukucp\Desktop\log_reset_hmi\su12_resetr.trc
;
;   Start time: 06.10.2021 09:52:33.517.0
;   Generated by PCAN-View v4.2.5.569
;
;   Message Number
;   |         Time Offset (ms)
;   |         |        Type
;   |         |        |        ID (hex)
;   |         |        |        |     Data Length
;   |         |        |        |     |   Data Bytes (hex) ...
;   |         |        |        |     |   |
;---+--   ----+----  --+--  ----+---  +  -+ -- -- -- -- -- -- --
  1179)      5003.2  Rx         070B  1  85 
  1180)      5003.4  Rx         074B  0  RTR
  1181)      5003.6  Rx         076A  0  RTR
  1182)      5005.2  Rx         076A  1  05 
  1183)      5006.7  Rx         074B  1  05 
  1184)      5023.2  Rx         0300  8  40 80 00 00 00 00 00 00 
  1185)      5027.2  Rx         0281  8  80 00 00 00 00 00 00 00 
  1186)      5033.0  Rx         070C  0  RTR
  1187)      5033.2  Rx         070C  1  85 
  1188)      5033.3  Rx         074C  0  RTR
  1189)      5033.6  Rx         076B  0  RTR
  1190)      5036.1  Rx         074C  1  05 
  1191)      5039.4  Rx         076B  1  05 
  1192)      5055.6  Rx         0260  4  0D 23 AD 05 
  1193)      5057.0  Rx         034E  8  2D 25 AD 05 00 00 00 00 
  1194)      5063.0  Rx         070D  0  RTR
  1195)      5063.2  Rx         070D  1  85 
  1196)      5063.4  Rx         074D  0  RTR
  1197)      5063.6  Rx         076C  0  RTR
  1198)      5064.2  Rx         074D  1  05 
  1199)      5072.5  Rx         076C  1  05 
  1200)      5073.3  Rx         0300  8  41 80 00 00 00 00 00 00 
  1201)      5083.6  Rx         0282  8  81 00 00 00 00 00 00 00 
  1202)      5093.0  Rx         070E  0  RTR
  1203)      5093.2  Rx         070E  1  05 
  1204)      5093.4  Rx         074E  0  RTR
  1205)      5093.6  Rx         076D  0  RTR
  1206)      5094.0  Rx         074E  1  85 
  1207)      5099.6  Rx         076D  1  05 
  1208)      5122.9  Rx         070F  0  RTR
  1209)      5123.2  Rx         070F  1  05 
  1210)      5123.4  Rx         074F  0  RTR
  1211)      5123.6  Rx         076E  0  RTR
  1212)      5124.1  Rx         0300  8  42 80 00 00 00 00 00 00 
  1213)      5126.1  Rx         074F  1  05 
  1214)      5132.8  Rx         076E  1  05 
  1215)      5133.6  Rx         0283  8  82 00 00 00 00 00 00 00 
  1216)      5152.9  Rx         0710  0  RTR
  1217)      5153.2  Rx         0750  0  RTR
  1218)      5153.4  Rx         0710  1  05 
  1219)      5153.6  Rx         076F  0  RTR
  1220)      5155.1  Rx         0750  1  85 
  1221)      5158.8  Rx         076F  1  05 
  1222)      5173.2  Rx         0300  8  43 80 00 00 00 00 00 00 
  1223)      5179.6  Rx         0284  8  83 00 00 00 00 00 00 00 
  1224)      5183.0  Rx         0711  0  RTR
  1225)      5183.2  Rx         0711  1  05 
  1226)      5183.4  Rx         0751  0  RTR
  1227)      5183.6  Rx         0770  0  RTR
  1228)      5188.6  Rx         0751  1  05 
  1229)      5188.8  Rx         0770  1  05 
  1230)      5213.0  Rx         0712  0  RTR
  1231)      5213.1  Rx         0752  0  RTR
  1232)      5213.4  Rx         0771  0  RTR
  1233)      5213.9  Rx         0712  1  85 
  1234)      5217.7  Rx         0752  1  05 
  1235)      5222.9  Rx         0771  1  05 
  1236)      5223.4  Rx         0300  8  44 80 00 00 00 00 00 00 
  1237)      5229.1  Rx         01EF  4  0E 58 05 00 
  1238)      5231.1  Rx         0285  8  84 00 00 00 00 00 00 00 
  1239)      5243.0  Rx         0713  0  RTR
  1240)      5243.2  Rx         0713  1  85 
  1241)      5243.4  Rx         0753  0  RTR
  1242)      5243.6  Rx         0772  0  RTR
  1243)      5246.0  Rx         0753  1  05 
  1244)      5246.7  Rx         0772  1  05 
  1245)      5273.0  Rx         0714  0  RTR
  1246)      5273.2  Rx         0714  1  85 
  1247)      5273.4  Rx         0773  0  RTR
  1248)      5273.9  Rx         0300  8  45 80 00 00 00 00 00 00 
  1249)      5276.0  Rx         0286  8  85 00 00 00 00 00 00 00 
  1250)      5283.2  Rx         0773  1  05 
  1251)      5302.9  Rx         0701  0  RTR
  1252)      5303.2  Rx         0701  1  85 
  1253)      5303.4  Rx         0741  0  RTR
  1254)      5303.6  Rx         0774  0  RTR
  1255)      5305.1  Rx         0741  1  05 
  1256)      5310.4  Rx         0774  1  05 
  1257)      5323.3  Rx         0300  8  46 80 00 00 00 00 00 00 
  1258)      5332.9  Rx         0287  8  86 00 00 00 00 00 00 00 
  1259)      5333.1  Rx         0702  0  RTR
  1260)      5333.3  Rx         0702  1  05 
  1261)      5333.5  Rx         0742  0  RTR
  1262)      5335.7  Rx         0742  1  05 
  1263)      5363.0  Rx         0703  0  RTR
  1264)      5363.2  Rx         0703  1  05 
  1265)      5363.4  Rx         0743  0  RTR
  1266)      5363.6  Rx         0761  0  RTR
  1267)      5365.1  Rx         0743  1  05 
  1268)      5371.1  Rx         0761  1  85 
  1269)      5373.3  Rx         0300  8  47 80 00 00 00 00 00 00 
  1270)      5381.4  Rx         0288  8  87 00 00 00 00 00 00 00 
  1271)      5393.0  Rx         0704  0  RTR
  1272)      5393.2  Rx         0704  1  05 
  1273)      5393.4  Rx         0744  0  RTR
  1274)      5393.6  Rx         0762  0  RTR
  1275)      5397.9  Rx         0744  1  85 
  1276)      5398.2  Rx         0762  1  85 
  1277)      5423.0  Rx         0705  0  RTR
  1278)      5423.2  Rx         0745  0  RTR
  1279)      5423.3  Rx         0763  0  RTR
  1280)      5423.9  Rx         0300  8  48 80 00 00 00 00 00 00 
  1281)      5424.1  Rx         0705  1  05 
  1282)      5426.4  Rx         0289  8  88 00 00 00 00 00 00 00 
  1283)      5427.8  Rx         0763  1  85 
  1284)      5428.2  Rx         0745  1  05 
  1285)      5453.0  Rx         0706  0  RTR
  1286)      5453.2  Rx         0706  1  85 
  1287)      5453.4  Rx         0746  0  RTR
  1288)      5453.6  Rx         0764  0  RTR
  1289)      5456.5  Rx         0746  1  85 
  1290)      5458.9  Rx         0764  1  85 
  1291)      5473.3  Rx         0300  8  49 80 00 00 00 00 00 00 
  1292)      5478.8  Rx         028A  8  89 00 00 00 00 00 00 00 
  1293)      5483.0  Rx         0707  0  RTR
  1294)      5483.2  Rx         0707  1  85 
  1295)      5483.4  Rx         0747  0  RTR
  1296)      5483.6  Rx         0765  0  RTR
  1297)      5485.2  Rx         0747  1  05 
  1298)      5490.2  Rx         0765  1  85 
  1299)      5513.0  Rx         0708  0  RTR
  1300)      5513.2  Rx         0708  1  85 
  1301)      5513.4  Rx         0748  0  RTR
  1302)      5513.6  Rx         0766  0  RTR
  1303)      5514.1  Rx         0748  1  05 
  1304)      5522.1  Rx         0766  1  85 
  1305)      5523.3  Rx         0300  8  4A 80 00 00 00 00 00 00 
  1306)      5528.3  Rx         028B  8  8A 00 00 00 00 00 00 00 
  1307)      5543.0  Rx         0709  0  RTR
  1308)      5543.2  Rx         0709  1  85 
  1309)      5543.4  Rx         0749  0  RTR
  1310)      5543.6  Rx         0767  0  RTR
  1311)      5547.9  Rx         0749  1  85 
  1312)      5548.2  Rx         0767  1  85 
  1313)      5573.0  Rx         070A  0  RTR
  1314)      5573.2  Rx         074A  0  RTR
  1315)      5573.4  Rx         0768  0  RTR
  1316)      5573.9  Rx         0300  8  4B 80 00 00 00 00 00 00 
  1317)      5574.1  Rx         070A  1  05 
  1318)      5577.2  Rx         074A  1  05 
  1319)      5578.5  Rx         0768  1  85 
  1320)      5579.0  Rx         028C  8  8B 00 00 00 00 00 00 00 
  1321)      5603.0  Rx         070B  0  RTR
  1322)      5603.2  Rx         074B  0  RTR
  1323)      5603.4  Rx         070B  1  05 
  1324)      5603.6  Rx         0769  0  RTR
  1325)      5606.7  Rx         074B  1  85 
  1326)      5607.3  Rx         0769  1  85 
  1327)      5623.3  Rx         0300  8  4C 80 00 00 00 00 00 00 
  1328)      5632.3  Rx         028D  8  8C 00 00 00 00 00 00 00 
  1329)      5633.0  Rx         070C  0  RTR
  1330)      5633.2  Rx         074C  0  RTR
  1331)      5633.3  Rx         076A  0  RTR
  1332)      5633.6  Rx         070C  1  05 
  1333)      5635.2  Rx         076A  1  85 
  1334)      5636.1  Rx         074C  1  85 
  1335)      5663.0  Rx         070D  0  RTR
  1336)      5663.2  Rx         074D  0  RTR
  1337)      5663.4  Rx         070D  1  05 
  1338)      5663.6  Rx         076B  0  RTR
  1339)      5664.1  Rx         074D  1  85 
  1340)      5669.4  Rx         076B  1  85 
  1341)      5673.3  Rx         0300  8  4D 80 00 00 00 00 00 00 
  1342)      5681.0  Rx         028E  8  8D 00 00 00 00 00 00 00 
  1343)      5693.0  Rx         070E  0  RTR
  1344)      5693.2  Rx         070E  1  85 
  1345)      5693.4  Rx         074E  0  RTR
  1346)      5693.6  Rx         076C  0  RTR
  1347)      5694.0  Rx         074E  1  05 
  1348)      5702.5  Rx         076C  1  85 
  1349)      5723.0  Rx         070F  0  RTR
  1350)      5723.2  Rx         070F  1  85 
  1351)      5723.4  Rx         074F  0  RTR
  1352)      5723.6  Rx         076D  0  RTR
  1353)      5724.1  Rx         0300  8  4E 80 00 00 00 00 00 00 
  1354)      5726.1  Rx         074F  1  85 
  1355)      5729.6  Rx         076D  1  85 
  1356)      5730.1  Rx         028F  8  8E 00 00 00 00 00 00 00 
  1357)      5753.0  Rx         0710  0  RTR
  1358)      5753.2  Rx         0710  1  85 
  1359)      5753.4  Rx         0750  0  RTR
  1360)      5753.6  Rx         076E  0  RTR
  1361)      5755.1  Rx         0750  1  05 
  1362)      5762.8  Rx         076E  1  85 
  1363)      5773.3  Rx         0300  8  4F 80 00 00 00 00 00 00 
  1364)      5779.9  Rx         0290  8  8F 00 00 00 00 00 00 00 
  1365)      5783.0  Rx         0711  0  RTR
  1366)      5783.2  Rx         0711  1  85 
  1367)      5783.4  Rx         0751  0  RTR
  1368)      5783.6  Rx         076F  0  RTR
  1369)      5788.5  Rx         0751  1  85 
  1370)      5788.9  Rx         076F  1  85 
  1371)      5813.0  Rx         0712  0  RTR
  1372)      5813.2  Rx         0712  1  05 
  1373)      5813.4  Rx         0752  0  RTR
  1374)      5813.6  Rx         0770  0  RTR
  1375)      5817.6  Rx         0752  1  85 
  1376)      5818.6  Rx         0770  1  85 
  1377)      5823.3  Rx         0300  8  50 80 00 00 00 00 00 00 
  1378)      5829.1  Rx         0291  8  90 00 00 00 00 00 00 00 
  1379)      5843.0  Rx         0713  0  RTR
  1380)      5843.2  Rx         0713  1  05 
  1381)      5843.4  Rx         0753  0  RTR
  1382)      5843.6  Rx         0771  0  RTR
  1383)      5846.0  Rx         0753  1  85 
  1384)      5852.9  Rx         0771  1  85 
  1385)      5873.0  Rx         0714  0  RTR
  1386)      5873.2  Rx         0714  1  05 
  1387)      5873.4  Rx         0772  0  RTR
  1388)      5873.9  Rx         0300  8  51 80 00 00 00 00 00 00 
  1389)      5876.7  Rx         0772  1  85 
  1390)      5882.0  Rx         0292  8  91 00 00 00 00 00 00 00 
  1391)      5903.0  Rx         0701  0  RTR
  1392)      5903.2  Rx         0701  1  05 
  1393)      5903.4  Rx         0741  0  RTR
  1394)      5903.6  Rx         0773  0  RTR
  1395)      5905.1  Rx         0741  1  85 
  1396)      5913.1  Rx         0773  1  85 
  1397)      5923.3  Rx         0300  8  52 80 00 00 00 00 00 00 
  1398)      5927.6  Rx         0293  8  92 00 00 00 00 00 00 00 
  1399)      5933.0  Rx         0702  0  RTR
  1400)      5933.2  Rx         0702  1  85 
  1401)      5933.4  Rx         0742  0  RTR
  1402)      5933.6  Rx         0774  0  RTR
  1403)      5935.7  Rx         0742  1  85 
  1404)      5940.4  Rx         0774  1  85 
  1405)      5963.0  Rx         0703  0  RTR
  1406)      5963.2  Rx         0743  0  RTR
  1407)      5963.9  Rx         0703  1  85 
  1408)      5965.1  Rx         0743  1  85 
  1409)      5973.3  Rx         0300  8  53 80 00 00 00 00 00 00 
  1410)      5979.6  Rx         0294  8  93 00 00 00 00 00 00 00 
  1411)      5993.0  Rx         0704  0  RTR
  1412)      5993.2  Rx         0704  1  85 
  1413)      5993.4  Rx         0744  0  RTR
  1414)      5993.6  Rx         0761  0  RTR
  1415)      5997.9  Rx         0744  1  05 
  1416)      6001.2  Rx         0761  1  05 
  1417)      6023.0  Rx         0705  0  RTR
  1418)      6023.2  Rx         0745  0  RTR
  1419)      6023.4  Rx         0762  0  RTR
  1420)      6023.9  Rx         0300  8  40 80 00 00 00 00 00 00 
  1421)      6024.1  Rx         0705  1  85 
  1422)      6027.1  Rx         0281  8  80 00 00 00 00 00 00 00 
  1423)      6028.2  Rx         0745  1  85 
  1424)      6028.4  Rx         0762  1  05 
  1425)      6053.0  Rx         0706  0  RTR
  1426)      6053.2  Rx         0706  1  05 
  1427)      6053.4  Rx         0746  0  RTR
  1428)      6053.6  Rx         0763  0  RTR
  1429)      6055.6  Rx         0260  4  07 23 CA 08 
  1430)      6056.7  Rx         0348  8  27 25 CA 08 00 00 00 00 
  1431)      6056.9  Rx         0746  1  05 
  1432)      6057.8  Rx         0763  1  05 
  1433)      6073.3  Rx         0300  8  41 80 00 00 00 00 00 00 
  1434)      6083.0  Rx         0707  0  RTR
  1435)      6083.2  Rx         0747  0  RTR
  1436)      6083.7  Rx         0282  8  C1 5F 0E 00 31 00 0A 05 
  1437)      6083.9  Rx         0707  1  05 
  1438)      6084.1  Rx         0764  0  RTR
  1439)      6085.2  Rx         0747  1  85 
  1440)      6088.9  Rx         0764  1  05 
  1441)      6113.0  Rx         0708  0  RTR
  1442)      6113.3  Rx         0708  1  05 
  1443)      6113.4  Rx         0748  0  RTR
  1444)      6113.6  Rx         0765  0  RTR
  1445)      6114.2  Rx         0748  1  85 
  1446)      6120.2  Rx         0765  1  05 
  1447)      6123.3  Rx         0300  8  42 80 00 00 00 00 00 00 
  1448)      6134.2  Rx         0283  8  82 00 00 00 00 00 00 00 
  1449)      6143.0  Rx         0709  0  RTR
  1450)      6143.3  Rx         0709  1  05 
  1451)      6143.4  Rx         0749  0  RTR
  1452)      6143.6  Rx         0766  0  RTR
  1453)      6147.9  Rx         0749  1  05 
  1454)      6152.1  Rx         0766  1  05 
  1455)      6173.0  Rx         070A  0  RTR
  1456)      6173.2  Rx         074A  0  RTR
  1457)      6173.4  Rx         070A  1  85 
  1458)      6173.6  Rx         0767  0  RTR
  1459)      6174.1  Rx         0300  8  43 80 00 00 00 00 00 00 
  1460)      6177.3  Rx         074A  1  85 
  1461)      6178.2  Rx         0767  1  05 
  1462)      6179.6  Rx         0284  8  83 00 00 00 00 00 00 00 
  1463)      6203.0  Rx         070B  0  RTR
  1464)      6203.2  Rx         070B  1  85 
  1465)      6203.4  Rx         074B  0  RTR
  1466)      6203.6  Rx         0768  0  RTR
  1467)      6206.7  Rx         074B  1  05 
  1468)      6208.5  Rx         0768  1  05 
  1469)      6223.3  Rx         0300  8  44 80 00 00 00 00 00 00 
  1470)      6230.7  Rx         0285  8  84 00 00 00 00 00 00 00 
  1471)      6233.0  Rx         070C  0  RTR
  1472)      6233.2  Rx         070C  1  85 
  1473)      6233.4  Rx         074C  0  RTR
  1474)      6233.6  Rx         0769  0  RTR
  1475)      6236.1  Rx         074C  1  05 
  1476)      6237.2  Rx         0769  1  05 
  1477)      6263.0  Rx         070D  0  RTR
  1478)      6263.2  Rx         074D  0  RTR
  1479)      6263.4  Rx         070D  1  85 
  1480)      6263.6  Rx         076A  0  RTR
  1481)      6264.1  Rx         074D  1  05 
  1482)      6265.2  Rx         076A  1  05 
  1483)      6273.3  Rx         0300  8  45 80 00 00 00 00 00 00 
  1484)      6276.0  Rx         0286  8  85 00 00 00 00 00 00 00 
  1485)      6293.0  Rx         070E  0  RTR
  1486)      6293.3  Rx         070E  1  05 
  1487)      6293.4  Rx         074E  0  RTR
  1488)      6293.6  Rx         076B  0  RTR
  1489)      6294.0  Rx         074E  1  85 
  1490)      6299.5  Rx         076B  1  05 
  1491)      6323.0  Rx         070F  0  RTR
  1492)      6323.2  Rx         074F  0  RTR
  1493)      6323.4  Rx         076C  0  RTR
  1494)      6323.9  Rx         0300  8  46 80 00 00 00 00 00 00 
  1495)      6324.2  Rx         070F  1  05 
  1496)      6326.1  Rx         074F  1  05 
  1497)      6332.5  Rx         076C  1  05 
  1498)      6333.0  Rx         0287  8  86 00 00 00 00 00 00 00 
  1499)      6353.0  Rx         0710  0  RTR
  1500)      6353.2  Rx         0750  0  RTR
  1501)      6353.4  Rx         076D  0  RTR
  1502)      6353.7  Rx         0710  1  05 
  1503)      6355.1  Rx         0750  1  85 
  1504)      6359.6  Rx         076D  1  05 
  1505)      6373.3  Rx         0300  8  47 80 00 00 00 00 00 00 
  1506)      6381.3  Rx         0288  8  87 00 00 00 00 00 00 00 
  1507)      6383.0  Rx         0711  0  RTR
  1508)      6383.2  Rx         0711  1  05 
  1509)      6383.4  Rx         0751  0  RTR
  1510)      6383.6  Rx         076E  0  RTR
  1511)      6388.5  Rx         0751  1  05 
  1512)      6392.8  Rx         076E  1  05 
  1513)      6413.0  Rx         0712  0  RTR
  1514)      6413.2  Rx         0752  0  RTR
  1515)      6413.4  Rx         076F  0  RTR
  1516)      6413.6  Rx         0712  1  85 
  1517)      6417.6  Rx         0752  1  05 
  1518)      6418.9  Rx         076F  1  05 
  1519)      6423.3  Rx         0300  8  48 80 00 00 00 00 00 00 
  1520)      6426.4  Rx         0289  8  88 00 00 00 00 00 00 00 
  1521)      6443.0  Rx         0713  0  RTR
  1522)      6443.2  Rx         0713  1  85 
  1523)      6443.4  Rx         0753  0  RTR
  1524)      6443.6  Rx         0770  0  RTR
  1525)      6446.0  Rx         0753  1  05 
  1526)      6448.7  Rx         0770  1  05 
  1527)      6473.0  Rx         0714  0  RTR
  1528)      6473.2  Rx         0714  1  85 
  1529)      6473.4  Rx         0771  0  RTR
  1530)      6474.0  Rx         0300  8  49 80 00 00 00 00 00 00 
  1531)      6478.8  Rx         028A  8  89 00 00 00 00 00 00 00 
  1532)      6483.0  Rx         0771  1  05 
  1533)      6503.0  Rx         0701  0  RTR
  1534)      6503.3  Rx         0701  1  85 
  1535)      6503.4  Rx         0741  0  RTR
  1536)      6503.6  Rx         0772  0  RTR
  1537)      6505.1  Rx         0741  1  05 
  1538)      6506.7  Rx         0772  1  05 
  1539)      6523.8  Rx         0300  8  4A 80 00 00 00 00 00 00 
  1540)      6528.3  Rx         028B  8  8A 00 00 00 00 00 00 00 
  1541)      6533.0  Rx         0702  0  RTR
  1542)      6533.3  Rx         0702  1  05 
  1543)      6533.5  Rx         0742  0  RTR
  1544)      6533.6  Rx         0773  0  RTR
  1545)      6543.2  Rx         0773  1  05 
  1546)      6563.0  Rx         0703  0  RTR
  1547)      6563.2  Rx         0743  0  RTR
  1548)      6563.4  Rx         0774  0  RTR
  1549)      6563.7  Rx         0703  1  05 
  1550)      6565.1  Rx         0743  1  05 
  1551)      6570.4  Rx         0774  1  05 
  1552)      6573.3  Rx         0300  8  4B 80 00 00 00 00 00 00 
  1553)      6579.0  Rx         028C  8  8B 00 00 00 00 00 00 00 
  1554)      6593.0  Rx         0704  0  RTR
  1555)      6593.3  Rx         0704  1  05 
  1556)      6593.5  Rx         0744  0  RTR
  1557)      6597.9  Rx         0744  1  85 
  1558)      6623.0  Rx         0705  0  RTR
  1559)      6623.2  Rx         0745  0  RTR
  1560)      6623.4  Rx         0705  1  05 
  1561)      6623.7  Rx         0761  0  RTR
  1562)      6624.1  Rx         0300  8  4C 80 00 00 00 00 00 00 
  1563)      6628.1  Rx         0745  1  05 
  1564)      6631.2  Rx         0761  1  85 
  1565)      6632.3  Rx         028D  8  8C 00 00 00 00 00 00 00 
  1566)      6653.0  Rx         0706  0  RTR
  1567)      6653.3  Rx         0706  1  85 
  1568)      6653.4  Rx         0746  0  RTR
  1569)      6653.7  Rx         0762  0  RTR
  1570)      6656.5  Rx         0746  1  85 
  1571)      6658.3  Rx         0762  1  85 
  1572)      6673.3  Rx         0300  8  4D 80 00 00 00 00 00 00 
  1573)      6680.9  Rx         028E  8  8D 00 00 00 00 00 00 00 
  1574)      6683.0  Rx         0707  0  RTR
  1575)      6683.3  Rx         0707  1  85 
  1576)      6683.4  Rx         0747  0  RTR
  1577)      6683.6  Rx         0763  0  RTR
  1578)      6685.2  Rx         0747  1  05 
  1579)      6687.8  Rx         0763  1  85 
  1580)      6713.0  Rx         0708  0  RTR
  1581)      6713.3  Rx         0708  1  85 
  1582)      6713.4  Rx         0748  0  RTR
  1583)      6713.6  Rx         0764  0  RTR
  1584)      6714.1  Rx         0748  1  05 
  1585)      6718.9  Rx         0764  1  85 
  1586)      6723.3  Rx         0300  8  4E 80 00 00 00 00 00 00 
  1587)      6730.1  Rx         028F  8  8E 00 00 00 00 00 00 00 
  1588)      6743.0  Rx         0709  0  RTR
  1589)      6743.2  Rx         0749  0  RTR
  1590)      6743.4  Rx         0709  1  85 
  1591)      6743.6  Rx         0765  0  RTR
  1592)      6747.9  Rx         0749  1  85 
  1593)      6750.2  Rx         0765  1  85 
  1594)      6773.0  Rx         070A  0  RTR
  1595)      6773.2  Rx         074A  0  RTR
  1596)      6773.5  Rx         070A  1  05 
  1597)      6773.6  Rx         0766  0  RTR
  1598)      6774.1  Rx         0300  8  4F 80 00 00 00 00 00 00 
  1599)      6777.2  Rx         074A  1  05 
  1600)      6780.0  Rx         0290  8  4F 41 F0 00 00 00 EF 00 
  1601)      6782.1  Rx         0766  1  85 
  1602)      6789.9  Rx         0290  8  4F 5A 01 00 F5 FF 00 00 
  1603)      6799.9  Rx         0290  8  4F 5A 02 00 00 00 00 00 
  1604)      6803.0  Rx         070B  0  RTR
  1605)      6803.2  Rx         070B  1  05 
  1606)      6803.5  Rx         074B  0  RTR
  1607)      6803.6  Rx         0767  0  RTR
  1608)      6806.7  Rx         074B  1  85 
  1609)      6808.2  Rx         0767  1  85 
  1610)      6809.9  Rx         0290  8  4F 5A 03 00 00 00 00 00 
  1611)      6819.8  Rx         0290  8  CF 5A 04 00 23 16 F4 15 
  1612)      6823.3  Rx         0300  8  50 80 00 00 00 00 00 00 
  1613)      6829.0  Rx         0291  8  90 00 00 00 00 00 00 00 
  1614)      6833.0  Rx         070C  0  RTR
  1615)      6833.2  Rx         074C  0  RTR
  1616)      6833.4  Rx         070C  1  05 
  1617)      6833.6  Rx         0768  0  RTR
  1618)      6836.0  Rx         074C  1  85 
  1619)      6838.5  Rx         0768  1  85 
  1620)      6863.1  Rx         070D  0  RTR
  1621)      6863.3  Rx         070D  1  05 
  1622)      6863.4  Rx         074D  0  RTR
  1623)      6863.7  Rx         0769  0  RTR
  1624)      6864.1  Rx         074D  1  85 
  1625)      6867.1  Rx         0769  1  85 
  1626)      6873.3  Rx         0300  8  51 80 00 00 00 00 00 00 
  1627)      6873.7  Rx         0260  4  1F CA 01 00 
  1628)      6882.0  Rx         0292  8  91 00 00 00 00 00 00 00 
  1629)      6893.0  Rx         070E  0  RTR
  1630)      6893.3  Rx         070E  1  85 
  1631)      6893.4  Rx         074E  0  RTR
  1632)      6893.6  Rx         076A  0  RTR
  1633)      6893.9  Rx         074E  1  05 
  1634)      6895.2  Rx         076A  1  85 
  1635)      6923.0  Rx         070F  0  RTR
  1636)      6923.2  Rx         074F  0  RTR
  1637)      6923.5  Rx         070F  1  85 
  1638)      6923.6  Rx         076B  0  RTR
  1639)      6924.2  Rx         0300  8  52 80 00 00 00 00 00 00 
  1640)      6926.0  Rx         074F  1  85 
  1641)      6927.6  Rx         0293  8  92 00 00 00 00 00 00 00 
  1642)      6929.5  Rx         076B  1  85 
  1643)      6953.0  Rx         0710  0  RTR
  1644)      6953.3  Rx         0710  1  85 
  1645)      6953.5  Rx         0750  0  RTR
  1646)      6953.6  Rx         076C  0  RTR
  1647)      6955.1  Rx         0750  1  05 
  1648)      6962.5  Rx         076C  1  85 
  1649)      6973.3  Rx         0300  8  53 80 00 00 00 00 00 00 
  1650)      6979.5  Rx         0294  8  93 00 00 00 00 00 00 00 
  1651)      6983.0  Rx         0711  0  RTR
  1652)      6983.2  Rx         0711  1  85 
  1653)      6983.5  Rx         0751  0  RTR
  1654)      6983.6  Rx         076D  0  RTR
  1655)      6988.5  Rx         0751  1  85 
  1656)      6990.1  Rx         076D  1  85 
  1657)      7013.0  Rx         0712  0  RTR
  1658)      7013.2  Rx         0712  1  05 
  1659)      7013.5  Rx         0752  0  RTR
  1660)      7013.7  Rx         076E  0  RTR
  1661)      7017.6  Rx         0752  1  85 
  1662)      7022.8  Rx         076E  1  85 
  1663)      7023.3  Rx         0300  8  40 80 00 00 00 00 00 00 
  1664)      7027.1  Rx         0281  8  80 00 00 00 00 00 00 00 
  1665)      7043.0  Rx         0713  0  RTR
  1666)      7043.3  Rx         0713  1  05 
  1667)      7043.4  Rx         0753  0  RTR
  1668)      7043.7  Rx         076F  0  RTR
  1669)      7046.0  Rx         0753  1  85 
  1670)      7048.9  Rx         076F  1  85 
  1671)      7056.6  Rx         0260  4  0C 23 DE 05 
  1672)      7057.7  Rx         034D  8  2C 25 DE 05 00 00 00 00 
  1673)      7073.1  Rx         0714  0  RTR
  1674)      7073.3  Rx         0714  1  05 
  1675)      7073.5  Rx         0770  0  RTR
  1676)      7073.9  Rx         0300  8  41 80 00 00 00 00 00 00 
  1677)      7078.7  Rx         0770  1  85 
  1678)      7083.6  Rx         0282  8  81 00 00 00 00 00 00 00 
  1679)      7103.1  Rx         0701  0  RTR
  1680)      7103.3  Rx         0701  1  05 
  1681)      7103.5  Rx         0741  0  RTR
  1682)      7103.6  Rx         0771  0  RTR
  1683)      7105.1  Rx         0741  1  85 
  1684)      7112.9  Rx         0771  1  85 
  1685)      7123.4  Rx         0300  8  42 80 00 00 00 00 00 00 
  1686)      7133.0  Rx         0702  0  RTR
  1687)      7133.3  Rx         0742  0  RTR
  1688)      7133.5  Rx         0702  1  85 
  1689)      7133.9  Rx         0283  8  C2 5F 0E 00 25 00 01 05 
  1690)      7134.2  Rx         0772  0  RTR
  1691)      7135.6  Rx         0742  1  85 
  1692)      7136.7  Rx         0772  1  85 
  1693)      7163.0  Rx         0703  0  RTR
  1694)      7163.3  Rx         0743  0  RTR
  1695)      7163.5  Rx         0703  1  85 
  1696)      7163.7  Rx         0773  0  RTR
  1697)      7165.1  Rx         0743  1  85 
  1698)      7173.9  Rx         0300  8  43 80 00 00 00 00 00 00 
  1699)      7174.1  Rx         0773  1  85 
  1700)      7179.6  Rx         0284  8  83 00 00 00 00 00 00 00 
  1701)      7193.0  Rx         0704  0  RTR
  1702)      7193.3  Rx         0704  1  85 
  1703)      7193.5  Rx         0744  0  RTR
  1704)      7193.7  Rx         0774  0  RTR
  1705)      7197.9  Rx         0744  1  05 
  1706)      7200.5  Rx         0774  1  85 
  1707)      7223.0  Rx         0705  0  RTR
  1708)      7223.2  Rx         0745  0  RTR
  1709)      7223.8  Rx         0300  8  44 80 00 00 00 00 00 00 
  1710)      7224.0  Rx         0705  1  85 
  1711)      7228.1  Rx         0745  1  85 
  1712)      7230.7  Rx         0285  8  84 00 00 00 00 00 00 00 
  1713)      7253.1  Rx         0706  0  RTR
  1714)      7253.3  Rx         0706  1  05 
  1715)      7253.5  Rx         0746  0  RTR
  1716)      7253.7  Rx         0761  0  RTR
  1717)      7256.5  Rx         0746  1  05 
  1718)      7261.2  Rx         0761  1  05 
  1719)      7273.3  Rx         0300  8  45 80 00 00 00 00 00 00 
  1720)      7276.0  Rx         0286  8  85 00 00 00 00 00 00 00 
  1721)      7283.1  Rx         0707  0  RTR
  1722)      7283.3  Rx         0707  1  05 
  1723)      7283.5  Rx         0747  0  RTR
  1724)      7283.7  Rx         0762  0  RTR
  1725)      7285.2  Rx         0747  1  85 
